id,provider,name,latitude,longitude,url,imageUrl
19d2a155-0ea9-4fee-9df1-9430d4c7e89f,"Costa Coffee",,,,/sklepy/costa-coffee/gazetka,""
19db0cca-4153-4abf-ac53-33f29d9818c5,Aligoo.pl,,,,/sklepy/aligoo-pl/gazetka,""
1a33a9bc-2dc5-4006-8242-6cd33e1b9855,CCC,,,,/sklepy/ccc/gazetka,""
1a34bcf0-4be5-4e0a-bb1d-a31e9e958611,Telepizza,,,,/sklepy/telepizza/gazetka,""
1a3bbc23-d680-45f1-8e7e-1ce1c16049d3,Jubiler,,,,/sklepy/jubiler/gazetka,""
1b0f2b78-efa8-4844-bf15-8a1e5d62a499,Rad-Pol,,,,/sklepy/rad-pol/gazetka,""
1b2b7532-2a37-4ec1-a62b-140b34363247,Intimissimi,,,,/sklepy/intimissimi/gazetka,""
1bf607c6-321f-4d49-968b-bc3a13eac3b0,"Dr Martens",,,,/sklepy/dr-martens/gazetka,""
1c134bd1-3fec-41d6-aa79-a8bf45fa6b11,Kernau,,,,/sklepy/kernau/gazetka,""
1c3729b6-0392-4fc6-917b-4cce8fa39e13,HalfPrice,,,,/sklepy/halfprice/gazetka,""
1c4a66f5-08d0-4472-b058-c7e261b636e0,Fotojoker,,,,/sklepy/fotojoker/gazetka,""
1c5ce993-2ec3-4707-bd90-93dbbe26bfc9,McDonald&#039;s,,,,/sklepy/mcdonald-s/gazetka,""
1c80e2d5-7feb-4405-8ccd-aa1e89d3c1af,Kross,,,,/sklepy/kross/gazetka,""
1cf4fc7d-32e7-4f57-a73b-5b22c86b2536,Medicine,,,,/sklepy/medicine/gazetka,""
1e4ddd98-ab7d-453c-953e-bae4aa4c4cec,Kempa,,,,/sklepy/kempa/gazetka,""
1e6834dc-7aed-4994-a957-703279dcfccd,Vipera,,,,/sklepy/vipera/gazetka,""
1eb34a96-32fc-494c-b834-f8795a562ac1,Sanpol,,,,/sklepy/sanpol/gazetka,""
